task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha_projected,m_prismatic_projected_correct,alpha_active_du,alpha_active_dv,alpha_active_yaw
libero_drawer,20270818,11,qualified,15,2,TP-GMM SE(2),True,,3.496073589893058,0.0008204934268040903,True,0.9732756045890273,0.0031089966194130726,0.008397011144980069
libero_drawer,20280818,5,qualified,8,2,TP-GMM additive,True,,0.9166648839600384,0.023597271001686942,True,0.9971977186288422,0.007938745107377108,0.002572936293346997
libero_drawer,20280818,5,qualified,8,2,TP-GMM SE(2),True,,1.2224942720495164,0.024721442466893798,True,0.9804330002410877,0.008229432388669668,0.006291541445613624
libero_drawer,20260818,17,qualified,30,2,TP-GMM additive,True,,7.90539062814787,0.003830366522893165,True,0.9975923377899404,0.005069716016675714,0.0016493642901521295
libero_drawer,20260818,17,qualified,30,2,TP-GMM SE(2),True,,4.503010109066963,0.001043116938058171,True,0.9830465900051433,0.0030921225894693085,0.005223969541038808
libero_drawer,20270818,13,random,30,1,TP-GMM additive,True,,4.608787573873997,0.004174450872637753,True,0.998141301796901,0.002769974235629564,0.0015788291944213964
libero_drawer,20270818,13,random,30,1,TP-GMM SE(2),True,,3.973616170929745,0.005570636675078849,True,0.9150715191844766,0.002371101289947027,0.002783189961386766
libero_drawer,20260818,15,qualified,30,0,TP-GMM additive,True,,8.194780874997377,0.003798303570686414,True,0.9979748010736228,0.0026730964207661158,0.0018191307346083557
libero_drawer,20260818,15,qualified,30,0,TP-GMM SE(2),True,,7.487504270160571,0.0035830329444175657,True,0.9901424768027356,0.011082845457282782,0.004742502830654025
libero_drawer,20280818,6,random,15,0,TP-GMM additive,True,,2.1634171521291137,0.003828381310388117,True,0.9975332260622055,0.007555588609344724,0.0014025122654594538
libero_drawer,20280818,6,random,15,0,TP-GMM SE(2),True,,1.8180142110213637,0.002185201825734752,True,0.9104474415562447,0.0025369336973852415,0.0036704263700443945
libero_drawer,20280818,9,qualified,15,0,TP-GMM additive,True,,2.1056115629617125,0.0038039161139890166,True,0.9964703568532407,0.005132374856388373,0.0285735398956719
libero_drawer,20280818,9,qualified,15,0,TP-GMM SE(2),True,,1.5844851359724998,0.006143697529239188,True,0.8958295023735185,0.00530508635382168,0.002556969572418628
libero_drawer,20270818,12,random,30,0,TP-GMM additive,True,,7.085243294946849,0.003800636825949427,True,0.9981024241693254,0.004391589354460774,0.0014668639187835192
libero_drawer,20270818,12,random,30,0,TP-GMM SE(2),True,,3.5150832070503384,0.0036567821562701686,True,0.9858663608285079,0.0045992935856781995,0.005483627697546378
libero_drawer,20280818,11,qualified,15,2,TP-GMM additive,True,,2.5542202088981867,0.004127472520426,True,0.9979383356226862,0.005046219304919876,0.00493309521486893
libero_drawer,20280818,11,qualified,15,2,TP-GMM SE(2),True,,1.9770744470879436,0.0008204934268040903,True,0.9732756045890273,0.0031089966194130726,0.008397011144980069
libero_drawer,20270818,15,qualified,30,0,TP-GMM additive,True,,5.316532298922539,0.003798303570686414,True,0.9979748010736228,0.0026730964207661158,0.0018191307346083557
libero_drawer,20270818,15,qualified,30,0,TP-GMM SE(2),True,,4.698152826866135,0.0035830329444175657,True,0.9901424768027356,0.011082845457282782,0.004742502830654025
libero_drawer,20270818,16,qualified,30,1,TP-GMM additive,True,,6.924491743091494,0.003771164943943665,True,0.9978368291385653,0.002717838611350847,0.0021676664854541777
libero_drawer,20270818,16,qualified,30,1,TP-GMM SE(2),True,,3.45647904695943,0.004367364419994663,True,0.985506322566318,0.0028234500406019566,0.01889366040004859
libero_drawer,20280818,10,qualified,15,1,TP-GMM additive,True,,3.0041326209902763,0.004017528152332753,True,0.9972024012810249,0.002426802938435523,0.002927460094395294
libero_drawer,20280818,10,qualified,15,1,TP-GMM SE(2),True,,2.9647379368543625,0.004638657803493729,True,0.9102685767008872,0.002275211050525211,0.00648599370134457
libero_drawer,20280818,7,random,15,1,TP-GMM additive,True,,3.174857143079862,0.004800980527466137,True,0.9979506859385257,0.0027988938354229736,0.0018391794064712404
libero_drawer,20280818,7,random,15,1,TP-GMM SE(2),True,,3.476091871969402,0.004763138054811502,True,0.9297858956294758,0.0029208198003325744,0.0028378220276479792
libero_drawer,20280818,13,random,30,1,TP-GMM additive,True,,3.2502500920090824,0.004174450872637753,True,0.998141301796901,0.002769974235629564,0.0015788291944213964
libero_drawer,20280818,13,random,30,1,TP-GMM SE(2),True,,2.7901798859238625,0.005570636675078849,True,0.9150715191844766,0.002371101289947027,0.002783189961386766
libero_drawer,20280818,8,random,15,2,TP-GMM additive,True,,4.472868844168261,0.004192747801814245,True,0.9962213259224334,0.0031962773805311565,0.003769681277474837
libero_drawer,20280818,8,random,15,2,TP-GMM SE(2),True,,2.839119673008099,0.004973456514176349,True,0.9326616694810969,0.005854453969194283,0.0047067051230613695
libero_drawer,20270818,14,random,30,2,TP-GMM additive,True,,6.818914833944291,0.0038297526691495414,True,0.9978658074506069,0.003791176277269118,0.0018562977319656845
libero_drawer,20270818,14,random,30,2,TP-GMM SE(2),True,,6.530293000862002,0.004835371568270041,True,0.9517605931366052,0.004239011556647493,0.020571810536899326
libero_drawer,20270818,17,qualified,30,2,TP-GMM additive,True,,8.126855144975707,0.003830366522893165,True,0.9975923377899404,0.005069716016675714,0.0016493642901521295
libero_drawer,20270818,17,qualified,30,2,TP-GMM SE(2),True,,4.345794623019174,0.001043116938058171,True,0.9830465900051433,0.0030921225894693085,0.005223969541038808
libero_drawer,20280818,12,random,30,0,TP-GMM additive,True,,5.872354835970327,0.003800636825949427,True,0.9981024241693254,0.004391589354460774,0.0014668639187835192
libero_drawer,20280818,12,random,30,0,TP-GMM SE(2),True,,2.7926076129078865,0.0036567821562701686,True,0.9858663608285079,0.0045992935856781995,0.005483627697546378
libero_drawer,20280818,17,qualified,30,2,TP-GMM additive,True,,6.157997936941683,0.003830366522893165,True,0.9975923377899404,0.005069716016675714,0.0016493642901521295
libero_drawer,20280818,17,qualified,30,2,TP-GMM SE(2),True,,4.018149530049413,0.001043116938058171,True,0.9830465900051433,0.0030921225894693085,0.005223969541038808
libero_drawer,20280818,14,random,30,2,TP-GMM additive,True,,7.774182466091588,0.0038297526691495414,True,0.9978658074506069,0.003791176277269118,0.0018562977319656845
libero_drawer,20280818,14,random,30,2,TP-GMM SE(2),True,,5.9989415388554335,0.004835371568270041,True,0.9517605931366052,0.004239011556647493,0.020571810536899326
libero_drawer,20280818,16,qualified,30,1,TP-GMM additive,True,,8.183216127101332,0.003771164943943665,True,0.9978368291385653,0.002717838611350847,0.0021676664854541777
libero_drawer,20280818,16,qualified,30,1,TP-GMM SE(2),True,,4.770617503905669,0.004367364419994663,True,0.985506322566318,0.0028234500406019566,0.01889366040004859
libero_drawer,20280818,15,qualified,30,0,TP-GMM additive,True,,7.981684210011736,0.003798303570686414,True,0.9979748010736228,0.0026730964207661158,0.0018191307346083557
libero_drawer,20280818,15,qualified,30,0,TP-GMM SE(2),True,,7.504112862981856,0.0035830329444175657,True,0.9901424768027356,0.011082845457282782,0.004742502830654025
